town_name,bachelors_degree_pct,poverty_pct,unemployment_pct,median_household_income,income_10yr_change_pct,population,population_10yr_change_pct
Wayland,77.8,4.2,3.5,221250.0,69.2,13826.0,5.0
Webster,24.8,15.4,6.6,68934.0,44.0,17674.0,5.3
Wellesley,87.1,3.2,3.4,250001.0,57.1,29906.0,4.9
Wellfleet,58.0,6.4,4.6,114074.0,141.9,4371.0,45.1
Wendell,52.1,12.3,7.0,69213.0,44.2,816.0,-16.7
Wenham,69.9,3.9,2.0,187652.0,47.1,4930.0,-0.7
West Boylston,41.1,8.3,4.7,99674.0,38.4,7732.0,-0.7
West Bridgewater,42.6,4.6,4.6,124483.0,54.9,7682.0,10.9
West Brookfield,31.2,8.9,7.3,78988.0,24.1,3830.0,2.7
West Newbury,66.6,2.2,2.9,189048.0,69.3,4536.0,5.4
West Springfield,34.9,10.4,5.6,70401.0,30.1,28635.0,0.5
West Stockbridge,76.1,11.7,4.1,99961.0,56.1,1201.0,-12.7
West Tisbury,59.9,3.5,0.0,194526.0,174.1,2865.0,9.0
Westborough,66.0,5.0,4.2,134474.0,33.3,21591.0,17.5
Westfield,32.6,11.0,4.0,82847.0,39.0,40673.0,-1.3
Westford,73.0,2.4,3.8,181523.0,45.8,24584.0,9.5
Westhampton,45.8,5.8,6.6,95192.0,22.2,1514.0,-3.5
Westminster,41.1,2.7,3.7,101161.0,20.7,8289.0,13.2
Weston,84.4,4.3,2.7,250001.0,29.8,11443.0,-0.8
Westport,30.3,6.0,2.8,100703.0,29.1,16382.0,5.1
Westwood,71.0,5.0,1.8,205000.0,58.9,16213.0,10.2
Weymouth,43.0,7.7,4.9,100077.0,46.9,57786.0,6.3
Whately,43.2,8.2,7.9,102734.0,27.9,1521.0,11.3
Whitman,29.2,7.5,4.6,107794.0,48.8,15215.0,4.4
Wilbraham,53.5,4.3,1.4,124004.0,42.6,14551.0,1.7
Williamsburg,62.8,4.3,3.2,108500.0,73.1,2716.0,2.3
Williamstown,68.4,11.1,2.7,97813.0,36.6,7463.0,-3.1
Wilmington,49.2,3.0,5.1,161473.0,62.3,23195.0,2.4
Winchendon,23.9,11.7,6.8,85160.0,46.1,10392.0,0.1
Winchester,78.4,3.9,3.0,218176.0,66.5,22862.0,5.7
Windsor,39.8,4.6,4.9,104766.0,42.1,1019.0,10.6
Winthrop,42.9,7.1,5.9,106357.0,64.8,18807.0,5.9
Woburn,47.3,7.8,7.4,107754.0,44.8,41205.0,6.9
Worcester,34.1,19.8,6.4,67544.0,47.1,205501.0,13.0
Worthington,44.3,3.7,2.3,91250.0,32.5,1061.0,-7.7
Wrentham,53.7,5.7,6.2,147930.0,47.1,12305.0,11.3
Yarmouth,40.4,7.7,6.2,81985.0,54.4,25091.0,5.8
